Index,Address,fraud_probability,FLAG
1,0x00009277775ac7d0d59eaad8fee3d10ac6c805e8,3.813398617969939e-05,0
2,0x0002b44ddb1476db43c868bd494422ee4c136fed,1.0831254887589862e-05,0
3,0x0002bda54cb772d040f779e88eb453cac0daa244,0.0010064834232290179,0
4,0x00038e6ba2fd5c09aedb96697c8d7b8fa6632e5e,5.915250186954972e-06,0
5,0x00062d1dd1afb6fb02540ddad9cdebfe568e0d89,0.00014831890331241249,0
6,0x000895ad78f4403ecd9468900e68d6ee506136fd,0.0004349429581072116,0
7,0x000d63fc5df52b0204374c2f5a3249779805d5d1,0.00016230091630423357,0
8,0x000e001ab444fa8d6dc4a402f8d7cfc88fe8c64d,0.001628027934871243,0
9,0x0012cb699c836049a4bbeaac2d8c4d47c688e0e4,0.0003806169068098342,0
10,0x0012f247c9f980eea0a9ad06893bfd95c3145794,0.0008660954082394379,0
11,0x0013e58a315d2e728f11630aa40abfbdddcab304,0.00012812081542974327,0
12,0x0016338abcb6bfa6d355adc207c5d2d42acb5e42,1.7262884920531094e-05,0
13,0x001b28141562bc2601694d27c3f5fda2c06c234c,0.0005746544455691839,0
14,0x001cb265c5606d79035059686ae5f94c6a4c2c2c,0.00027924544414909176,0
15,0x001cf9871aeaf2acf72f144b16818b7e417b6dda,2.0614618971574824e-05,0
16,0x001d54f72af6eae0fdd17009c391426754bec5c2,9.326998548743068e-05,0
17,0x001e6fbcd020823d3161df44bb5da6c34419eecb,0.000525443110665359,0
18,0x001eb1e90d25e8c1372c38f2b2a36b49b6634235,2.4379168919837924e-05,0
19,0x001f357ca93307571d8cd93d09ce25a3660429af,0.00032503955498892385,0
20,0x001f99982965a3792077893ecadc7be0c61d613c,0.00044666671502716077,0
21,0x00235134f8335d48cf506b25cc376fc84520588b,0.0018627391246600967,0
22,0x0023a6a2c8316ccfb083a194aa5668bd75891455,4.1735673407185584e-05,0
23,0x0029a9b2ea1e45e32fb6344b117388515858d040,0.000959328433658941,0
24,0x002a68f53b92cef5ee4e7ce015b78408f20942bb,8.098181570176738e-06,0
25,0x002ab919205b134d05d0746e22c7f8000523c660,0.0005068217437395737,0
26,0x002b043689ad84008fffab16afc1955f5a3aebde,0.008999772774962184,0
27,0x0031ebb20a0aaf8c67be012bb3a3483d75269635,0.0018877397497345752,0
28,0x003300d3d2c46983b9a55b07b9b2ab47d6228111,0.0001244977075072935,0
29,0x0033fd555da940b923a7f6f465cc4d9088724263,0.0002212795455090443,0
30,0x0034f7473531239b1799bc7f14ff97d5303a5a93,1.6578975722060055e-06,0
31,0x0036ed1e6299bb586ac70ebdfa336f06714a9556,0.004376648390273869,0
32,0x0038ab9bf479faa2997522b3cf9492153ea6b33f,3.5516221365652815e-05,0
33,0x003b9a44dcc7b59546a8b1c1e7dccd57eb99f07d,0.00015155411088064983,0
34,0x003c5ebfa5cdb3d73bad42bb07db823f6c77a236,0.0008920600345879002,0
35,0x003d8b1e6723960d60367a719fe65e08643a2a80,0.00015806356283639626,0
36,0x003e2b1599587a6c2f38928ea8f874a74fb1bbbc,0.0013093062956132347,0
37,0x004534ebd59b0b094da701dbfd952ef605470128,0.00020553124353607646,0
38,0x0045eb75acf6e1cb1d9ec41e352a879e2cd50b35,2.3496618734787537e-05,0
39,0x00462f4a169c1dc0b9dc428aa37d394c8abf1266,1.2368290786832934e-05,0
40,0x00472c1e4275230354dbe5007a5976053f12610a,6.725702443743039e-05,0
41,0x004853f00fab90ab60cf1e609b0b61494b90164c,6.117923408210787e-05,0
42,0x004e1c2a12ac1d0b70907c702892f397a4769bfb,0.0004787548722184245,0
43,0x004f1cea50b057ad8b6f445e128edbdc9b48902b,0.00013062760513464074,0
44,0x005073a74dd37889bebbf9de7550dea7666f625b,7.805248103727938e-05,0
45,0x005457078e3c355023433874edffc8b254881334,0.00028584898637340126,0
46,0x00595d5ec3bb583428a0304b2940a70d7f553aef,0.00453472780313899,0
47,0x0059782ecd69fb5413c5e1a98b40c28dff061162,4.0420884942882695e-05,0
48,0x005b98bb53be9d5789d27aa1c69ec8a789eff9c1,6.0993019192858285e-05,0
49,0x005cb96b96c8fe801f89500df6ee38dc5fa0081f,6.470186189638948e-05,0
50,0x005d3bffd33b1a012279d25d30f75133584404db,0.0005756629615161817,0
51,0x006482de8230af0f8e2918a439c7826fe8642a43,1.58498213841055e-05,0
52,0x006743c8992ca6d54c23fa3a745a4781b3817f0c,7.590118862331542e-05,0
53,0x0067e167caf808eaa6f642d9232e54ff7bb47c07,3.070476228656491e-05,0
54,0x006aaaff2ff3358bc8453febaba4e236b028df80,0.00025071550276785576,0
